id;sku;name;price;status;created_at
1;yearly minus caring;out mosh;20718.05;ACTIVE;2026-04-06T10:36:13
2;queasily mmm aggressive;uh-huh hm hold;20713.81;ACTIVE;2026-04-05T22:05:55
3;commemorate bungalow;ick elastic;10779.98;INACTIVE;2026-04-06T12:31:58
4;afterwards voluntarily;scrutinise whoa formation;10733.81;ACTIVE;2026-04-06T12:39:17
5;wherever density;boastfully;6924.03;INACTIVE;2026-04-06T12:34:31
6;alongside;opposite;20928.69;ACTIVE;2026-04-05T21:26:47
7;ack underneath yippee;unlike;7346.76;ACTIVE;2026-04-06T06:12:15
8;the for;cinch;8989.15;INACTIVE;2026-04-06T13:34:22
9;although hovercraft;steak rule exonerate;15563.9;ACTIVE;2026-04-06T03:00:01
10;huddle a;save purple gosh;20565.8;ACTIVE;2026-04-06T12:38:03
11;whose dirty;potentially since;20381.16;INACTIVE;2026-04-06T17:28:04
12;bright aw;boo atop;13061.43;INACTIVE;2026-04-06T03:03:01
13;forsaken blah fixed;ha creak gosh;21355.32;INACTIVE;2026-04-06T09:05:38
14;wearily;athwart ah;27399.42;ACTIVE;2026-04-06T20:12:47
15;noisily so;failing er;27515.42;ACTIVE;2026-04-06T09:54:46
16;jellyfish;as;14699;ACTIVE;2026-04-06T10:34:05
17;since joyfully ack;vice display qua;12225.58;INACTIVE;2026-04-06T06:42:31
18;whoever;wherever zowie;489.57;ACTIVE;2026-04-06T08:48:44
19;cauliflower before necessary;burdensome busily versus;28217.98;ACTIVE;2026-04-06T15:08:03
20;summary recommendation incidentally;patiently;12232.38;ACTIVE;2026-04-05T23:10:31
21;baseboard gee when;similar nor usefully;21668.52;INACTIVE;2026-04-06T10:54:49
22;negligible yippee noisily;among dearly;13544.93;ACTIVE;2026-04-06T04:18:30
23;impassioned;before;1378.43;INACTIVE;2026-04-06T06:04:40
24;cemetery challenge;lox nor;23356.8;ACTIVE;2026-04-06T10:43:05
25;badly ick;monstrous chairperson daddy;575.24;INACTIVE;2026-04-06T07:05:01
26;ugh vice;plus;31390.91;ACTIVE;2026-04-06T12:34:54
27;strait;shallow boo;24456.85;ACTIVE;2026-04-06T07:38:06
28;unless;beyond;26151.44;INACTIVE;2026-04-05T22:24:56
29;colorless;impact;26297.17;ACTIVE;2026-04-06T09:33:34
30;ah punctual however;sticker;16625.65;ACTIVE;2026-04-06T03:35:48
